"source;target";w
"opening;inform";16
"inform;self_error";15
"closing_greeting;request";15
"thanking_downplay;closing_politeness_statement";15
"closing_greeting;greeting";15
"greeting;thanking_downplay";14
"thanking;agreement";14
"suggestion;choice_question";14
"inform;pausing";14
"dialog_act_invitation;set_question";14
"disconfirm;thanking";13
"dialog_act_invitation;threat";13
"self_error;inform";13
"opening;choice_question";13
"thanking_downplay;elicitation";13
"inform;thanking_downplay";13
"stalling;request";13
"answer;promise";12
"greeting;self_error";12
"closing_greeting;thanking_downplay";12
"self_error;closing_politeness_statement";12
"preclosing;opening";12
"inform;suggestion";12
"dialog_act_invitation;inform";12
"confirm;agreement";11
"suggestion;inform";11
"promise;opening";11
"disconfirm;elicitation";11
"thanking_downplay;closing_greeting";11
"confirm;initial_goodbye";11
"elicitation;farewell_wish";11
"answer;choice_question";10
"choice_question;self_error";10
"set_question;self_error";10
"farewell_wish;greeting";10
"farewell_wish;closing_greeting";10
"greeting;stalling";10
"set_question;answer";10
"answer;closing_greeting";10
"greeting;closing_greeting";10
"elicitation;agreement";10
"dialog_act_invitation;opening";10
"closing_politeness_statement;set_question";10
"closing_politeness_statement;apology_downplay";10
"closing_greeting;inform";10
"opening;thanking_downplay";9
"stalling;elicitation";9
"inform;apology_downplay";9
"elicitation;disconfirm";9
"initial_goodbye;greeting";9
"thanking_downplay;choice_question";9
"confirm;disconfirm";9
"opening;preclosing";9
"disconfirm;request";9
"apology_downplay;promise";9
"preclosing;set_question";9
"preclosing;closing_politeness_statement";8
"threat;opening";8
"apology_downplay;answer";8
"elicitation;dialog_act_invitation";8
"pausing;closing_politeness_statement";8
"elicitation;greeting";8
"agreement;elicitation";8
"threat;inform";8
"answer;thanking_downplay";8
"thanking;disconfirm";8
"threat;pausing";7
"agreement;confirm";7
"closing_politeness_statement;pausing";7
"answer;set_question";7
"threat;answer";7
"set_question;greeting";7
"pausing;promise";6
"suggestion;request";6
"closing_politeness_statement;self_error";6
"choice_question;apology_downplay";6
"pausing;set_question";6
"apology_downplay;preclosing";6
"inform;disconfirm";6
"greeting;preclosing";6
"thanking_downplay;greeting";6
"greeting;agreement";5
"self_error;set_question";5
"farewell_wish;inform";5
"threat;apology_downplay";5
"closing_politeness_statement;farewell_wish";5
"initial_goodbye;promise";5
"promise;initial_goodbye";5
"closing_politeness_statement;thanking_downplay";5
"greeting;apology_downplay";5
"preclosing;self_error";5
"opening;apology_downplay";5
"self_error;closing_greeting";4
"agreement;inform";4
"promise;choice_question";4
"thanking_downplay;threat";4
"preclosing;promise";4
"choice_question;greeting";4
"promise;set_question";4
"answer;threat";4
"self_error;preclosing";4
"choice_question;promise";4
"promise;self_error";4
"dialog_act_invitation;answer";4
"answer;opening";4
"agreement;promise";3
"disconfirm;inform";3
"agreement;request";3
"promise;answer";3
"answer;stalling";3
"pausing;choice_question";3
"apology_downplay;stalling";3
"preclosing;greeting";3
"choice_question;stalling";3
"initial_goodbye;farewell_wish";3
"farewell_wish;closing_politeness_statement";3
"threat;farewell_wish";3
"closing_politeness_statement;stalling";3
"apology_downplay;set_question";3
"thanking_downplay;inform";3
"agreement;closing_greeting";3
"closing_greeting;opening";3
"opening;answer";3
"self_error;agreement";3
"closing_greeting;pausing";3
"opening;greeting";3
"suggestion;promise";3
"answer;self_error";3
"stalling;pausing";3
"suggestion;thanking_downplay";3
"self_error;suggestion";3
"promise;greeting";3
"opening;dialog_act_invitation";3
"preclosing;stalling";3
"pausing;self_error";2
"pausing;preclosing";2
"promise;apology_downplay";2
"self_error;answer";2
"answer;pausing";2
"suggestion;elicitation";2
"farewell_wish;preclosing";2
"closing_greeting;answer";2
"suggestion;answer";2
"threat;closing_greeting";2
"closing_greeting;stalling";2
"set_question;pausing";2
"promise;pausing";2
"apology_downplay;closing_greeting";2
"choice_question;pausing";2
"request;agreement";2
"set_question;agreement";2
"dialog_act_invitation;promise";2
"stalling;answer";2
"set_question;apology_downplay";2
"set_question;dialog_act_invitation";2
"request;initial_goodbye";2
"promise;threat";2
"agreement;set_question";2
"set_question;promise";2
"answer;agreement";2
"pausing;apology_downplay";2
"closing_greeting;self_error";2
"self_error;promise";2
"answer;initial_goodbye";2
"dialog_act_invitation;disconfirm";2
"threat;preclosing";2
"opening;stalling";2
"initial_goodbye;closing_greeting";2
